Accession,Population,Tray,Plant_ID,Treatment,rand_placement_within_tray,Placement,flow_fresh_tissue_weight,DNA_content,FLOW,Cytotype,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_dry_mass,avg_chlorophyll,avg_DMC,est_flo_dry_leaf_weight,avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_rhizome_mass,normalized_fine_roots_mass
Blue11-2018,Blue,17,341,L,0.488131086,9,NA,NA,,Treated Diploid,33.9,0.0192,0.0063,0.84,0.0084,1.333333333,3.76,0.328125,38.6,0.0177,0.0059,0.79,0.0079,1.338983051,3.66,0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.0061,36.25,0.330729167,0.011258248,1.336158192,0,0,0,0,0,0.0392,0.050458248,0.0344,0.084858248,0.681751772,0.0205,0.0139,0,0.594618074,0.241579345,0.163802581
Cheney2-2018,Cheney,14,262,H,0.740232155,18,0.0519,1.205,Y,Untreated Diploid,42.7,0.1501,0.04,5.97,0.0597,1.4925,10.41,0.266489007,46.4,0.1194,0.0413,5.3,0.053,1.283292978,10.13,0.345896147,NA,NA,0.0495,6.11,0.0611,1.234343434,11.01,NA,0.0436,44.55,0.306192577,0.008632394,1.336712137,0,0,1,0,1,0.7265,0.735132394,0.2989,1.034032394,0.406593428,0.1245,0.1744,0,0.710937489,0.120402417,0.168660093
Blue2-1,Blue,16,216,H,0.174633997,6,0.1529,1.293,Y,Untreated Diploid,50.7,0.1803,0.0481,6.01,0.0601,1.249480249,11.79,0.266777593,48.1,0.1692,0.0406,5.65,0.0565,1.391625616,10.78,0.239952719,48.3,0.155,0.0393,5.4,0.054,1.374045802,10.93,0.253548387,0.042666667,49.03333333,0.253426233,0.01370902,1.338383889,0,0,0,0,0,0.5268,0.54050902,0.1239,0.66440902,0.229228367,0.0431,0.0808,0,0.813518486,0.064869679,0.121611835
Blue16-2018,Blue,19,151,L,0.162208858,6,NA,NA,,Treated Diploid,NA,0.0291,0.009,1.12,0.0112,1.244444444,4.56,0.309278351,37.7,0.0266,0.0067,0.96,0.0096,1.432835821,4.2,0.251879699,NA,NA,NA,NA,NA,NA,NA,NA,0.00785,37.7,0.280579025,0.014284115,1.338640133,0,0,0,0,0,0.0462,0.060484115,0.0508,0.111284115,0.839889945,0.0244,0.0264,0,0.54351077,0.219258607,0.237230624
Santa-1,Santa,6,302,C,0.549528768,9,0.0346,0.972,Y,Untreated Diploid,40.1,0.0824,0.0267,3.55,0.0355,1.329588015,7.97,0.324029126,41.1,0.0769,0.0253,3.42,0.0342,1.351778656,7.87,0.3289987,NA,NA,NA,NA,NA,NA,NA,NA,0.026,40.6,0.326513913,NA,1.340683336,0,0,0,0,0,0.2189,0.2189,0.1019,0.3208,0.465509365,0.0428,0.0591,0,0.682356608,0.133416459,0.184226933
Santa16-2018,Santa,14,118,H,0.95368845,20,0.0617,1.073,Y,Treated Diploid,48.1,0.1644,0.0475,6.2,0.062,1.305263158,10.9,0.28892944,51.8,0.1385,0.0396,5.32,0.0532,1.343434343,10.38,0.285920578,NA,NA,0.0483,6.64,0.0664,1.374741201,11.25,NA,0.045133333,49.95,0.287425009,0.024770773,1.341146234,0,0,0,0,0,0.9911,1.015870773,0.3049,1.320770773,0.3001366,0.1304,0.1745,0,0.769149949,0.098730228,0.132119822
Santa9-2018,Santa,21,65,L,0.510364139,9,NA,NA,,Treated Diploid,44.8,0.0293,0.0092,1.3,0.013,1.413043478,4.8,0.313993174,45.7,0.0277,0.0083,1.11,0.0111,1.337349398,4.48,0.299638989,46.1,0.0303,0.0098,1.25,0.0125,1.275510204,4.79,0.323432343,0.0091,45.53333333,0.312354835,0.03527807,1.341967693,0,0,0,0,0,0.0417,0.07697807,0.0569,0.13387807,0.739171559,0.0315,0.0254,0,0.574986404,0.235288722,0.189724874
Blue6-2018,Blue,1,241,C,0.005114613,1,0.0457,1.291,Y,Untreated Diploid,40.5,0.0491,0.0154,2.03,0.0203,1.318181818,6.24,0.313645621,41.3,0.0662,0.0184,2.52,0.0252,1.369565217,6.9,0.277945619,NA,NA,NA,NA,NA,NA,NA,NA,0.0169,40.9,0.29579562,NA,1.343873518,0,0,1,0,1,0.1039,0.1039,0.1133,0.2172,1.090471607,0.0707,0.0426,0,0.478360958,0.325506446,0.196132597
Cheney2-2018,Cheney,16,408,H,0.277892681,7,0.1016,1.162,Y,Treated Diploid,47,0.168,0.0378,5.49,0.0549,1.452380952,10.79,0.225,54.4,0.1731,0.0399,5.13,0.0513,1.285714286,10.25,0.2305026,58.5,0.1817,0.0423,5.5,0.055,1.300236407,10.97,0.232801321,0.04,53.3,0.22943464,0.013193137,1.346110548,0,0,0,0,0,0.5275,0.540693137,0.279,0.819693137,0.51600433,0.1381,0.1409,0,0.659628723,0.168477682,0.171893595
Santa-1,Santa,8,304,C,0.076639363,1,0.021,1.061,Y,Untreated Diploid,41.4,0.0642,0.0203,2.79,0.0279,1.374384236,7.05,0.316199377,42.7,0.104,0.0312,4.13,0.0413,1.323717949,8.33,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0.02575,42.05,0.308099689,NA,1.349051093,1,1,0,0,2,0.0999,0.0999,0.049,0.1489,0.49049049,0.0185,0.0305,0,0.670920081,0.124244459,0.20483546
