Plant_ID,above_A630,above_mg.L,above_ashed_weight_g,above_ashed_weight_mg,above_decimal_percent_phosphorus,asin_above_percent_P,above_percent_phorphorus,below_A630,below_mg.L,below_ashed_weight_g,below_ashed_weight_mg,below_decimal_percent_phosphorus,asin_below_percent_P,below_percent_phorphorus,Accession,Population,Tray,Treatment,Cytotype,avg_leaf_dry_mass,avg_chlorophyll,avg_DMC,avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_belowground_mass,normalized_rhizome_mass,normalized_fine_roots_mass,normalized_avg_leaf_dry_mass
368,-0.051,0.0026991,0.0054,5.4,0.000499833,0.000499833,0.049983333,NA,NA,NA,NA,NA,NA,NA,Blue2-2,Blue,20,L,Neotetraploid,0.00375,NA,0.373489202,0.894025605,0,0,0,0,0,0.035322446,0.0078,0.043122446,0.22082276,1.00E-04,0.0077,0,0.819119722,0.180880278,0.002318978,0.1785613,0.086961672
380,NA,NA,NA,NA,NA,NA,NA,0.066,0.0366044,0.0058,5.8,0.006311103,0.006311145,0.631110345,Blue5-2018,Blue,24,L,Neotetraploid,0.01425,39.5,0.3011979,1.003360681,0,1,0,1,2,0.0595,0.0343,0.0938,0.576470588,0.0098,0.0245,0,0.634328358,0.365671642,0.104477612,0.26119403,0.151918977
378,NA,NA,NA,NA,NA,NA,NA,0.123,0.0641582,0.0102,10.2,0.00629002,0.006290061,0.629001961,Blue5-2018,Blue,22,L,Neotetraploid,0.00995,44.75,0.323607427,1.20106383,0,1,1,0,2,0.082601849,0.0343,0.116901849,0.415244942,0.0151,0.0192,0,0.706591467,0.293408533,0.129168188,0.164240345,0.085114137
402,0.038,0.0196054,0.0042,4.2,0.004667952,0.004667969,0.466795238,NA,NA,NA,NA,NA,NA,NA,Cheney2-2018,Cheney,22,L,Neotetraploid,0.0024,25.15,0.239695879,1.545454546,0,1,0,0,1,0.019350312,0.0082,0.027550312,0.423765777,6.00E-04,0.0076,0,0.702362717,0.297637283,0.021778338,0.275858945,0.087113351
414,0.143,0.0611253,0.0348,34.8,0.001756474,0.001756475,0.175647414,NA,NA,NA,NA,NA,NA,NA,Cheney3-2018,Cheney,18,L,Neotetraploid,0.0059,35.4,0.3308562,1.059071118,0,1,0,0,1,0.027499497,0.0068,0.034299497,0.24727725,0.001,0.0058,0,0.801746364,0.198253636,0.029154946,0.16909869,0.172014184
425,0.044,0.0067548,0.0133,13.3,0.00050788,0.00050788,0.05078797,0.051,0.0172321,0.0046,4.6,0.003746109,0.003746118,0.37461087,CheneyA-2018,Cheney,21,L,Neotetraploid,0.004633333,30.46666667,0.268885734,1.633642548,1,1,0,1,3,0.025333473,0.0164,0.041733473,0.647364852,0.0059,0.0105,0,0.607030069,0.392969931,0.141373329,0.251596602,0.111021985
413,0.037,0.0229229,0.02,20,0.001146145,0.001146145,0.1146145,0.055,0.031287,0.0099,9.9,0.003160303,0.003160308,0.316030303,Cheney3-2018,Cheney,17,L,Neotetraploid,0.00995,35.7,0.385453383,0.886244189,1,1,0,0,2,0.056015343,0.022,0.078015343,0.392749536,0.0116,0.0104,0,0.718004188,0.281995812,0.148688701,0.133307111,0.127539015
440,0.053,0.0189489,0.0066,6.6,0.002871045,0.002871049,0.287104545,NA,NA,NA,NA,NA,NA,NA,KB2-8,Palouse,20,L,Neotetraploid,0.0072,48.5,0.355978127,1.035273369,0,1,0,0,1,0.021858339,0.0079,0.029758339,0.36141813,1.00E-04,0.0078,0,0.734528194,0.265471806,0.003360403,0.262111403,0.241948988
439,NA,NA,NA,NA,NA,NA,NA,0.186,0.0694406,0.0096,9.6,0.007233396,0.007233459,0.723339583,KB2-8,Palouse,19,L,Neotetraploid,0.01215,50.3,0.302631917,0.951073232,1,0,0,0,1,0.054310029,0.0291,0.083410029,0.53581264,0.0109,0.0182,0,0.65112109,0.34887891,0.130679729,0.218199181,0.145665937
438,0.096,0.0464768,0.0172,17.2,0.00270214,0.002702143,0.270213953,0.125,0.065125,0.0131,13.1,0.004971374,0.004971394,0.497137405,KB2-8,Palouse,18,L,Neotetraploid,0.00895,45.25,0.331973728,0.911462301,0,0,0,0,0,0.036719727,0.0219,0.058619727,0.596409663,1.00E-04,0.0218,0,0.62640563,0.37359437,0.00170591,0.37188846,0.152678978
