Plant_ID,above_A630,above_mg.L,above_ashed_weight_g,above_ashed_weight_mg,above_decimal_percent_phosphorus,above_percent_phorphorus,below_A630,below_mg.L,below_ashed_weight_g,below_ashed_weight_mg,below_decimal_percent_phosphorus,below_percent_phorphorus,Accession,Population,Tray,Ploidy,Treatment,rand_placement_within_tray,Placement,randomized_tray_layout,flow_fresh_tissue_weight,DNA_content,FLOW,flow_ploidy,finalized_ploidy,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_dry_mass,avg_chlorophyll,log_avg_chlorophyll,avg_DMC,arcsine_avg_DMC,est_flo_dry_leaf_weight,avg_SLA,log_avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,log_Total_biomass_g,total_biomass_avg_ploidy,total_biomass_SD_ploidy,total_biomass_N_ploidy,root_to_shoot_raio,rootshoot_avg_ploidy,rootshoot_SD_ploidy,rootshoot_N_ploidy,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,arcsine_normalized_aboveground_mass,normal_above_mass_avg_ploidy,normal_above_mass_SD_ploidy,normal_above_mass_N_ploidy,normalized_belowground_mass,arcsine_normal_beloground_mass,normal_below_mass_avg_ploidy,normal_below_mass_SD_ploidy,normal_below_mass_N_ploidy,normalized_rhizome_mass,arcsine_normal_rhizome_mass,normal_rhizome_mass_avg_ploidy,normal_rhizome_mass_SD_ploidy,normal_rhizome_mass_N_ploidy,normalized_fine_roots_mass,arcsine_normal_fine_root_mass,normal_fineroot_mass_avg_ploidy,normal_fineroot_mass_SD_ploidy,normal_fineroot_mass_N_ploidy,normalized_avg_leaf_dry_mass
280,NA,NA,NA,NA,NA,NA,0.614,0.2777382,0.0303,30.3,0.009166277,0.916627723,CheneyA-2018,Cheney,8,2x,Control,0.806393476,18,NA,0.0395,0.9,Y,2X,2x,42.8,0.0758,0.0246,2.85,0.0285,1.158536585,7,0.324538259,45.7,0.0901,0.0333,3.29,0.0329,0.987987988,7.61,0.369589345,NA,NA,NA,NA,NA,NA,NA,NA,0.02895,44.25,1.645913275,0.347063802,0.62997086,NA,1.073262287,0.030705869,0,0,0,0,0,0.2067,0.2067,0.1466,0.3533,-0.451856363,NA,NA,NA,0.709240445,NA,NA,NA,0.0767,0.0699,0,0.585055194,0.870869008,NA,NA,NA,0.414944806,0.699927319,NA,NA,NA,0.217095952,0.484691671,NA,NA,NA,0.197848854,0.460953219,NA,NA,NA,0.081941693
310,0.482,0.224391,0.0203,20.3,0.011053744,1.105374384,0.657,0.3063547,0.0178,17.8,0.017210938,1.72109382,Santa-1,Santa,14,2x,High,0.559070301,14,NA,0.0464,1.201,Y,2X,2x,44.9,0.1166,0.026,4.35,0.0435,1.673076923,8.67,0.222984563,46.7,0.1017,0.0223,3.95,0.0395,1.771300448,8.4,0.21927237,NA,NA,0.027,4.27,0.0427,1.581481481,9.33,NA,0.0251,45.8,1.660865478,0.221128467,0.489566086,0.027460155,1.675286284,0.224089033,0,0,0,0,0,0.5584,0.585860155,0.1004,0.686260155,-0.163511216,NA,NA,NA,0.171371955,NA,NA,NA,0.0207,0.0797,0,0.853699797,1.178304338,NA,NA,NA,0.146300203,0.392491989,NA,NA,NA,0.030163488,0.174561572,NA,NA,NA,0.116136715,0.34775534,NA,NA,NA,0.036575051
251,0.357,0.1673981,0.0236,23.6,0.00709314,0.709313983,0.929,0.4369395,0.0333,33.3,0.013121306,1.312130631,Blue6-2018,Blue,11,2x,High,0.610364414,13,NA,0.0609,1.104,Y,2X,2x,51.1,0.1619,0.0453,5.39,0.0539,1.189845475,10.72,0.279802347,52.5,0.146,0.0421,4.82,0.0482,1.144893112,9.99,0.288356164,51.6,0.1734,0.0449,5.39,0.0539,1.200445434,9.93,0.25893887,0.0441,51.73333333,1.713770462,0.275699127,0.552798058,0.035054675,1.178394674,0.071290771,1,1,0,0,2,0.7315,0.766554675,0.4177,1.184254675,0.073445108,NA,NA,NA,0.544905685,NA,NA,NA,0.1875,0.2302,0,0.647288705,0.934904802,NA,NA,NA,0.352711295,0.635891525,NA,NA,NA,0.158327431,0.409230839,NA,NA,NA,0.194383864,0.456589846,NA,NA,NA,0.037238612
249,0.427,0.1874159,0.0236,23.6,0.007941352,0.794135169,0.981,0.4616655,0.0298,29.8,0.015492131,1.549213087,Blue6-2018,Blue,9,2x,High,0.468037818,10,NA,0.0888,1.013,Y,2X,2x,41,0.1913,0.0494,6.85,0.0685,1.386639676,11.08,0.258233142,42.8,0.1676,0.0477,5.57,0.0557,1.167714885,10.77,0.284606205,50.2,0.202,0.0605,6.57,0.0657,1.085950413,11.41,0.29950495,0.052533333,44.66666667,1.649983544,0.280781432,0.55846865,0.021282329,1.213434991,0.084016514,1,1,1,1,4,0.8315,0.852782329,0.3178,1.170582329,0.068401964,NA,NA,NA,0.372662506,NA,NA,NA,0.1224,0.1954,0,0.728511193,1.022720476,NA,NA,NA,0.271488807,0.548075851,NA,NA,NA,0.104563342,0.329280804,NA,NA,NA,0.166925465,0.420881442,NA,NA,NA,0.044877948
263,0.693,0.3247215,0.0251,25.1,0.012937112,1.293711155,1.147,0.5401337,0.0266,26.6,0.020305778,2.03057782,Cheney2-2018,Cheney,15,2x,High,0.393187902,7,NA,0.0943,1.129,Y,2X,2x,45.8,0.0893,0.0239,3.29,0.0329,1.376569038,7.8,0.267637178,48.4,0.1193,0.0286,3.85,0.0385,1.346153846,8.62,0.239731769,NA,NA,0.0274,3.96,0.0396,1.445255474,8.73,NA,0.026633333,47.1,1.673020907,0.253684474,0.527842891,0.010132743,1.389326119,0.1428042,0,1,1,0,2,0.5798,0.589932743,0.2147,0.804632743,-0.094402299,NA,NA,NA,0.363939792,NA,NA,NA,0.0819,0.1328,0,0.733170192,1.027972784,NA,NA,NA,0.266829808,0.542823543,NA,NA,NA,0.101785567,0.324714801,NA,NA,NA,0.165044241,0.418353361,NA,NA,NA,0.033099987
227,0.237,0.1118021,0.0179,17.9,0.006245927,0.624592737,1.199,0.5653245,0.0311,31.1,0.018177637,1.817763666,Blue2-2,Blue,11,2x,High,0.93291278,16,NA,0.0858,1.108,Y,2X,2x,49.5,0.2057,0.057,5.89,0.0589,1.033333333,11.52,0.277102577,53.6,0.2084,0.0564,6.19,0.0619,1.09751773,11.66,0.270633397,42.1,0.1795,0.05,5.68,0.0568,1.136,10.36,0.278551532,0.054466667,48.4,1.684845362,0.275429169,0.552495955,0.007849802,1.088950354,0.03700808,1,1,0,0,2,0.8678,0.875649802,0.3238,1.199449802,0.078982077,NA,NA,NA,0.369782531,NA,NA,NA,0.101,0.2228,0,0.730042892,1.02444407,NA,NA,NA,0.269957108,0.546352257,NA,NA,NA,0.084205275,0.294416443,NA,NA,NA,0.185751834,0.445588915,NA,NA,NA,0.045409709
298,0.549,0.3062391,0.0282,28.2,0.010859543,1.085954255,1.317,0.6121661,0.0292,29.2,0.020964592,2.096459247,KB2-2,KB,10,2x,High,0.899251622,20,NA,0.0673,1.149,Y,2X,2x,52.3,0.1456,0.0377,4.65,0.0465,1.233421751,9.19,0.258928571,49.6,0.127,0.0323,4.64,0.0464,1.436532508,9.22,0.254330709,48.7,0.1249,0.0308,4.49,0.0449,1.457792208,8.89,0.246597278,0.0336,50.2,1.700703717,0.253285519,0.527384329,0.012991684,1.375915489,0.13859176,0,0,0,0,0,0.5394,0.552391684,0.2181,0.770491684,-0.113232044,NA,NA,NA,0.394828536,NA,NA,NA,0.0645,0.1536,0,0.716933999,1.009788903,NA,NA,NA,0.283066001,0.561007424,NA,NA,NA,0.083712779,0.293528506,NA,NA,NA,0.199353222,0.462838645,NA,NA,NA,0.043608517
213,0.298,0.1400634,0.0181,18.1,0.007738309,0.773830939,1.5,0.68645,0.0314,31.4,0.021861465,2.186146497,Blue2-1,Blue,13,2x,High,0.421809289,10,NA,0.0343,1.172,Y,2X,2x,50.1,0.1563,0.0474,5.43,0.0543,1.14556962,10.67,0.303262956,50.9,0.1293,0.0436,4.64,0.0464,1.064220183,9.74,0.337200309,NA,NA,NA,NA,NA,NA,NA,NA,0.0455,50.5,1.703291378,0.320231633,0.601512472,NA,1.104894902,0.04332097,0,1,0,0,1,0.8123,0.8123,0.2803,1.0926,0.038461196,NA,NA,NA,0.345069556,NA,NA,NA,0.1668,0.1135,0,0.743455977,1.039673564,NA,NA,NA,0.256544023,0.531122763,NA,NA,NA,0.152663372,0.401415381,NA,NA,NA,0.103880652,0.328163647,NA,NA,NA,0.041643785
198,0.116,0.0557428,0.0228,22.8,0.00244486,0.244485965,NA,NA,NA,NA,NA,NA,Blue1-3,Blue,18,2x,Low,0.052962045,2,NA,NA,NA,,,2x,40.7,0.021,0.0062,0.8,0.008,1.290322581,3.78,0.295238095,45.7,0.0227,0.0076,0.85,0.0085,1.118421053,3.96,0.334801762,NA,NA,NA,NA,NA,NA,NA,NA,0.0069,43.2,1.635483747,0.315019929,0.595915104,0.028861085,1.204371817,0.080760584,0,1,0,0,1,0.0324,0.061261085,0.012,0.073261085,-1.135126654,NA,NA,NA,0.195882917,NA,NA,NA,0.0029,0.0091,0,0.836202262,1.154124445,NA,NA,NA,0.163797738,0.416671882,NA,NA,NA,0.039584453,0.200294978,NA,NA,NA,0.124213285,0.360176113,NA,NA,NA,0.094183699
214,0.398,0.1780974,0.0235,23.5,0.007578613,0.757861277,NA,NA,NA,NA,NA,NA,Blue2-1,Blue,14,2x,High,0.086523316,3,NA,0.0537,1.245,Y,2X,2x,51.1,0.227,0.0568,7.41,0.0741,1.304577465,12.71,0.250220264,44.8,0.1605,0.0416,6,0.06,1.442307692,11.68,0.259190031,NA,NA,0.0551,7.36,0.0736,1.335753176,12.38,NA,0.051166667,47.95,1.680788612,0.254705148,0.529014982,0.008409643,1.360879444,0.133819654,0,0,0,0,0,0.8234,0.831809643,0.2067,1.038509643,0.016410533,NA,NA,NA,0.248494354,NA,NA,NA,0.0883,0.1184,0,0.800964775,1.10835578,NA,NA,NA,0.199035225,0.462440546,NA,NA,NA,0.085025691,0.295890379,NA,NA,NA,0.114009534,0.344422318,NA,NA,NA,0.049269323
