Accession,Population,Tray,Ploidy,Plant_ID,Treatment,Cytotype,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_area_cm,avg_leaf_dry_mass,avg_chlorophyll,log_avg_chlorophyll,avg_DMC,est_flo_dry_leaf_weight,avg_SLA,log_avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,log_Total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_belowground_mass,normalized_rhizome_mass,normalized_fine_roots_mass,normalized_avg_leaf_dry_mass
Blue2-3,Blue,16,2x,240,H,Diploid,52.4,0.1407,0.0311,5.04,0.0504,1.620578778,10.14,0.221037669,45,0.1511,0.0336,5.53,0.0553,1.645833333,10.7,0.222369292,45.8,0.1538,0.0342,5.6,0.056,1.637426901,10.68,0.22236671,0.0539,0.032966667,47.73333333,1.678821763,0.221924557,0.010106016,1.634613004,0.21341495,0,0,1,0,1,0.8233,0.833406016,0.2088,1.042206016,0.017953576,0.250538148,0.0659,0.1429,0,0.799655733,0.200344267,0.06323126,0.137113006,0.031631622
Blue2-3,Blue,15,2x,239,H,Diploid,41.3,0.094,0.023,3.57,0.0357,1.552173913,7.94,0.244680851,38.4,0.1133,0.0273,3.98,0.0398,1.457875458,9.03,0.240953222,NA,NA,0.0289,4.28,0.0428,1.480968858,9.11,NA,0.039433333,0.0264,39.85,1.600428326,0.242817037,0.005669554,1.497006076,0.175223563,0,0,1,0,1,0.4985,0.504169554,0.1432,0.647369554,-0.188847729,0.284031431,0.0527,0.0905,0,0.778797135,0.221202865,0.081406362,0.139796503,0.040780416
Blue2-1,Blue,15,2x,215,H,Diploid,39,0.1224,0.0275,3.84,0.0384,1.396363636,8.4,0.224673203,35.8,0.1302,0.0295,4.21,0.0421,1.427118644,8.7,0.226574501,35.7,0.1153,0.0276,4.1,0.041,1.485507246,8.85,0.239375542,0.0405,0.0282,36.83333333,1.566241023,0.230207749,0.036164385,1.436329842,0.157254184,0,1,0,0,1,0.3266,0.362764385,0.149,0.511764385,-0.290929941,0.410734918,0.0671,0.0819,0,0.708850392,0.291149608,0.131115025,0.160034583,0.055103483
Blue2-1,Blue,14,2x,214,H,Diploid,51.1,0.227,0.0568,7.41,0.0741,1.304577465,12.71,0.250220264,44.8,0.1605,0.0416,6,0.06,1.442307692,11.68,0.259190031,NA,NA,0.0551,7.36,0.0736,1.335753176,12.38,NA,0.069233333,0.051166667,47.95,1.680788612,0.254705148,0.008409643,1.360879444,0.133819654,0,0,0,0,0,0.8234,0.831809643,0.2067,1.038509643,0.016410533,0.248494354,0.0883,0.1184,0,0.800964775,0.199035225,0.085025691,0.114009534,0.049269323
Blue1-3,Blue,10,2x,202,H,Diploid,52.9,0.2759,0.062,8.4,0.084,1.35483871,12.84,0.224719101,50.3,0.211,0.0462,6.43,0.0643,1.391774892,11.11,0.218957346,54.2,0.2677,0.0638,8.5,0.085,1.332288401,12.9,0.238326485,0.077766667,0.057333333,52.46666667,1.719883473,0.227334311,0.015429903,1.359634001,0.133422017,1,1,0,1,3,0.6684,0.683829903,0.2348,0.918629903,-0.036859422,0.343360241,0.0884,0.1464,0,0.744401963,0.255598037,0.096230266,0.159367771,0.062411786
Blue2-1,Blue,16,2x,216,H,Diploid,50.7,0.1803,0.0481,6.01,0.0601,1.249480249,11.79,0.266777593,48.1,0.1692,0.0406,5.65,0.0565,1.391625616,10.78,0.239952719,48.3,0.155,0.0393,5.4,0.054,1.374045802,10.93,0.253548387,0.056866667,0.042666667,49.03333333,1.690491418,0.253426233,0.01370902,1.338383889,0.1265807,0,0,0,0,0,0.5268,0.54050902,0.1239,0.66440902,-0.17756448,0.229228367,0.0431,0.0808,0,0.813518486,0.186481514,0.064869679,0.121611835,0.064217471
Blue1-3,Blue,9,2x,201,H,Diploid,39.5,0.1878,0.0438,5.7,0.057,1.301369863,10.97,0.233226837,39.7,0.1633,0.039,5.06,0.0506,1.297435897,9.73,0.23882425,38.2,0.2047,0.0452,6.16,0.0616,1.362831858,11.47,0.220810943,0.0564,0.042666667,39.13333333,1.592546842,0.23095401,0.015640712,1.320545873,0.120753492,0,0,0,0,0,0.5212,0.536840712,0.1788,0.715640712,-0.145304961,0.333059688,0.051,0.1278,0,0.750153957,0.249846043,0.071264811,0.178581232,0.059620234
Blue2-2,Blue,12,2x,228,H,Diploid,55.7,0.1926,0.0546,6.32,0.0632,1.157509158,11.62,0.283489097,48.8,0.16,0.036,5.69,0.0569,1.580555556,10.65,0.225,57.7,0.2062,0.0548,6.69,0.0669,1.22080292,11.51,0.265761397,0.062333333,0.048466667,54.06666667,1.732929595,0.258083498,0.002891375,1.319622545,0.120449727,0,0,1,0,1,1.0194,1.022291375,0.2118,1.234091375,0.091347317,0.207181636,0.0702,0.1416,0,0.828375755,0.171624245,0.056883956,0.114740288,0.039273159
Blue1-3,Blue,11,2x,203,H,Diploid,41.1,0.1705,0.0482,6,0.06,1.244813278,10.18,0.282697947,43,0.1997,0.0516,6.95,0.0695,1.346899225,10.98,0.258387581,51.2,0.2181,0.0547,7.05,0.0705,1.288848263,11.11,0.250802384,0.066666667,0.0515,45.1,1.654176542,0.263962637,0.012649909,1.293520255,0.111773234,0,1,0,0,1,0.8502,0.862849909,0.3533,1.216149909,0.084987112,0.409457075,0.1478,0.2055,0,0.709493051,0.290506949,0.12153107,0.168975879,0.042346753
Blue2-3,Blue,14,2x,238,H,Diploid,48.1,0.2005,0.0517,6.71,0.0671,1.29787234,12.59,0.257855362,50.8,0.1945,0.0551,6.88,0.0688,1.248638838,13.14,0.283290488,NA,NA,0.0459,6.06,0.0606,1.320261438,11.41,NA,0.0655,0.0509,49.45,1.694166296,0.270572925,0.028776909,1.288924205,0.110227379,0,1,0,1,2,0.7441,0.772876909,0.3956,1.168476909,0.067620134,0.511853822,0.1713,0.2243,0,0.661439608,0.338560392,0.1466011,0.191959292,0.043560981
Blue1-3,Blue,12,2x,204,H,Diploid,53.9,0.2143,0.0562,6.9,0.069,1.227758007,12.66,0.262249183,52.9,0.1921,0.0481,6.24,0.0624,1.297297297,11.31,0.250390422,53.7,0.2186,0.0572,7.05,0.0705,1.232517483,11.78,0.261665142,0.0673,0.053833333,53.5,1.728353782,0.258101582,NA,1.252524262,0.097786147,1,0,0,0,1,0.8916,0.8916,0.3676,1.2592,0.100094715,0.412292508,0.1306,0.237,0,0.708068615,0.291931385,0.103716645,0.18821474,0.042752012
Blue6-2018,Blue,12,2x,252,H,Diploid,51.8,0.2724,0.0732,8.75,0.0875,1.195355191,12.88,0.268722467,50.4,0.2765,0.0712,9.15,0.0915,1.28511236,13.11,0.257504521,51.2,0.2062,0.0584,6.92,0.0692,1.184931507,12.01,0.283220175,0.082733333,0.0676,51.13333333,1.708704105,0.269815721,0.025934938,1.221799686,0.087000009,1,1,1,1,4,1.1323,1.158234938,0.6104,1.768634938,0.2476382,0.527008796,0.3002,0.3102,0,0.654875075,0.345124925,0.169735423,0.175389501,0.038221568
Blue6-2018,Blue,9,2x,249,H,Diploid,41,0.1913,0.0494,6.85,0.0685,1.386639676,11.08,0.258233142,42.8,0.1676,0.0477,5.57,0.0557,1.167714885,10.77,0.284606205,50.2,0.202,0.0605,6.57,0.0657,1.085950413,11.41,0.29950495,0.0633,0.052533333,44.66666667,1.649983544,0.280781432,0.021282329,1.213434991,0.084016514,1,1,1,1,4,0.8315,0.852782329,0.3178,1.170582329,0.068401964,0.372662506,0.1224,0.1954,0,0.728511193,0.271488807,0.104563342,0.166925465,0.044877948
Blue6-2018,Blue,11,2x,251,H,Diploid,51.1,0.1619,0.0453,5.39,0.0539,1.189845475,10.72,0.279802347,52.5,0.146,0.0421,4.82,0.0482,1.144893112,9.99,0.288356164,51.6,0.1734,0.0449,5.39,0.0539,1.200445434,9.93,0.25893887,0.052,0.0441,51.73333333,1.713770462,0.275699127,0.035054675,1.178394674,0.071290771,1,1,0,0,2,0.7315,0.766554675,0.4177,1.184254675,0.073445108,0.544905685,0.1875,0.2302,0,0.647288705,0.352711295,0.158327431,0.194383864,0.037238612
Blue2-3,Blue,13,2x,237,H,Diploid,44.3,0.1618,0.0407,4.95,0.0495,1.216216216,9.57,0.251545117,47,0.2062,0.056,5.83,0.0583,1.041071429,11.09,0.271580989,NA,NA,NA,NA,NA,NA,NA,NA,0.0539,0.04835,45.65,1.659440782,0.261563053,NA,1.128643823,0.052556909,0,1,0,0,1,0.556,0.556,0.1364,0.6924,-0.159642941,0.245323741,0.0555,0.0809,0,0.803004044,0.196995956,0.080155979,0.116839977,0.069829578
Blue6-2018,Blue,10,2x,250,H,Diploid,53.8,0.2118,0.0645,7.05,0.0705,1.093023256,11.86,0.304532578,52.5,0.1923,0.056,6.54,0.0654,1.167857143,10.87,0.291211648,54.1,0.2082,0.0614,6.82,0.0682,1.110749186,11.24,0.294908742,0.068033333,0.060633333,53.46666667,1.728083109,0.296884323,0.041976495,1.123876528,0.050718601,1,1,1,1,4,0.8609,0.902876495,0.3289,1.231776495,0.090531913,0.364280167,0.1196,0.2093,0,0.732987274,0.267012726,0.097095537,0.169917189,0.049224298
Blue2-1,Blue,13,2x,213,H,Diploid,50.1,0.1563,0.0474,5.43,0.0543,1.14556962,10.67,0.303262956,50.9,0.1293,0.0436,4.64,0.0464,1.064220183,9.74,0.337200309,NA,NA,NA,NA,NA,NA,NA,NA,0.05035,0.0455,50.5,1.703291378,0.320231633,NA,1.104894902,0.04332097,0,1,0,0,1,0.8123,0.8123,0.2803,1.0926,0.038461196,0.345069556,0.1668,0.1135,0,0.743455977,0.256544023,0.152663372,0.103880652,0.041643785
Blue2-2,Blue,11,2x,227,H,Diploid,49.5,0.2057,0.057,5.89,0.0589,1.033333333,11.52,0.277102577,53.6,0.2084,0.0564,6.19,0.0619,1.09751773,11.66,0.270633397,42.1,0.1795,0.05,5.68,0.0568,1.136,10.36,0.278551532,0.0592,0.054466667,48.4,1.684845362,0.275429169,0.007849802,1.088950354,0.03700808,1,1,0,0,2,0.8678,0.875649802,0.3238,1.199449802,0.078982077,0.369782531,0.101,0.2228,0,0.730042892,0.269957108,0.084205275,0.185751834,0.045409709
Blue2-2,Blue,10,2x,226,H,Diploid,55.6,0.2425,0.0768,7.31,0.0731,0.951822917,12.32,0.316701031,55.8,0.2426,0.077,7.27,0.0727,0.944155844,12.15,0.317394889,55.1,0.1926,0.0607,6.26,0.0626,1.031301483,10.84,0.315160955,0.069466667,0.0715,55.5,1.744292983,0.316418958,0.012302496,0.975760081,-0.010656953,0,0,0,0,0,0.6728,0.685102496,0.198,0.883102496,-0.053988888,0.289007851,0.1055,0.0925,0,0.775790465,0.224209535,0.119465182,0.104744353,0.080964554
Blue6-2018,Blue,18,2x,246,L,Diploid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0.0095,0.0095,0.0044,0.0139,-1.8569852,0.463157895,7.00E-04,0.0037,1,0.683453237,0.316546763,0.050359712,0.26618705,NA
Blue2-3,Blue,24,2x,236,L,Diploid,43.5,0.0333,0.0392,1.2,0.012,NA,4.53,NA,44.7,0.0301,0.0293,1.13,0.0113,NA,4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01165,0.03425,44.1,1.644438589,NA,NA,NA,NA,0,0,0,0,0,0.0511,0.0511,0.0369,0.088,-1.055517328,0.722113503,0.0214,0.0155,0,0.580681818,0.419318182,0.243181818,0.176136364,0.389204545
Blue1-3,Blue,17,2x,197,L,Diploid,35.7,0.0304,0.009,1.25,0.0125,1.388888889,4.95,0.296052632,33.2,0.0361,0.0101,1.45,0.0145,1.435643564,5.29,0.279778393,NA,NA,NA,NA,NA,NA,NA,NA,0.0135,0.00955,34.45,1.537189226,0.287915513,0.023701543,1.412266227,0.149916573,0,0,0,0,0,0.059,0.082701543,0.0459,0.128601543,-0.890753821,0.555007783,0.0163,0.0296,0,0.643083598,0.356916402,0.12674809,0.230168311,0.074260384
Blue2-1,Blue,22,2x,210,L,Diploid,33.2,0.0298,0.0091,1.33,0.0133,1.461538462,5.15,0.305369128,32.8,0.0231,0.0081,1.06,0.0106,1.308641975,4.91,0.350649351,NA,NA,NA,NA,NA,NA,NA,NA,0.01195,0.0086,33,1.51851394,0.32800924,0.016790077,1.385090219,0.141478062,0,0,0,0,0,0.0617,0.078490077,0.0371,0.115590077,-0.937079447,0.472671214,0.0194,0.0177,0,0.679038193,0.320961807,0.167834476,0.153127331,0.07440085
Blue1-3,Blue,20,2x,200,L,Diploid,33.5,0.0158,0.0043,0.67,0.0067,1.558139535,3.42,0.272151899,NA,0.0144,0.0055,0.64,0.0064,1.163636364,3.42,0.381944444,NA,NA,NA,NA,NA,NA,NA,NA,0.00655,0.0049,33.5,1.525044807,0.327048172,0.018565629,1.36088795,0.133822369,0,0,0,0,0,0.0186,0.037165629,0.014,0.051165629,-1.291021683,0.376692131,0.0017,0.0123,0,0.726378816,0.273621184,0.03322543,0.240395755,0.095767414
Blue1-3,Blue,19,2x,199,L,Diploid,40.7,0.0341,0.0095,1.32,0.0132,1.389473684,5.06,0.278592375,41.4,0.0313,0.0087,1.15,0.0115,1.32183908,4.65,0.277955272,NA,NA,NA,NA,NA,NA,NA,NA,0.01235,0.0091,41.05,1.613313161,0.278273824,0.014024374,1.355656382,0.132149623,0,0,0,0,0,0.0594,0.073424374,0.0632,0.136624374,-0.864471815,0.860749592,0.039,0.0242,0,0.537417826,0.462582174,0.28545419,0.177127984,0.066605978
