Accession,Population,Tray,Ploidy,Plant_ID,Treatment,Cytotype,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_area_cm,avg_leaf_dry_mass,avg_chlorophyll,log_avg_chlorophyll,avg_DMC,est_flo_dry_leaf_weight,avg_SLA,log_avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,log_Total_biomass_g,root_to_shoot_raio,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,normalized_belowground_mass,normalized_rhizome_mass,normalized_fine_roots_mass,normalized_avg_leaf_dry_mass
KB2-2,Palouse,1,2x,289,C,Diploid,53.1,0.1101,0.0397,3.53,0.0353,0.889168766,7.91,0.36058129,54.6,0.1263,0.0456,3.75,0.0375,0.822368421,8.12,0.361045131,NA,NA,NA,NA,NA,NA,NA,NA,0.0364,0.04265,53.85,1.731185708,0.360813211,NA,0.855768594,-0.067643656,1,1,0,1,3,0.1631,0.1631,0.1453,0.3084,-0.510885631,0.8908645,0.0934,0.0519,0,0.528858625,0.471141375,0.302853437,0.168287938,0.138294423
KB2-2,Palouse,9,2x,297,H,Diploid,43.7,0.1175,0.0313,5.07,0.0507,1.619808307,9.33,0.266382979,41.6,0.1597,0.0449,6.59,0.0659,1.467706013,11.3,0.28115216,39.7,0.1242,0.0352,4.47,0.0447,1.269886364,9.36,0.283413849,0.053766667,0.037133333,41.66666667,1.619788758,0.276982996,0.039704853,1.452466895,0.162106243,0,0,1,0,1,0.7925,0.832204853,0.3777,1.209904853,0.082751219,0.453854599,0.184,0.1937,0,0.687826692,0.312173308,0.152078074,0.160095234,0.030691118
KB2-2,Palouse,10,2x,298,H,Diploid,52.3,0.1456,0.0377,4.65,0.0465,1.233421751,9.19,0.258928571,49.6,0.127,0.0323,4.64,0.0464,1.436532508,9.22,0.254330709,48.7,0.1249,0.0308,4.49,0.0449,1.457792208,8.89,0.246597278,0.045933333,0.0336,50.2,1.700703717,0.253285519,0.012991684,1.375915489,0.13859176,0,0,0,0,0,0.5394,0.552391684,0.2181,0.770491684,-0.113232044,0.394828536,0.0645,0.1536,0,0.716933999,0.283066001,0.083712779,0.199353222,0.043608517
KB2-2,Palouse,11,2x,299,H,Diploid,43.9,0.1499,0.0393,4.9,0.049,1.246819338,9.44,0.262174783,46.9,0.1503,0.0399,4.69,0.0469,1.175438596,9.2,0.265469062,45.1,0.1578,0.043,5.12,0.0512,1.190697674,9.39,0.272496831,0.049033333,0.040733333,45.3,1.656098202,0.266713559,0.024104044,1.204318536,0.080741371,1,0,0,0,1,0.6217,0.645804044,0.3974,1.043204044,0.018369262,0.615356939,0.1504,0.247,0,0.619058225,0.380941775,0.14417122,0.236770555,0.039046372
KB2-2,Palouse,12,2x,300,H,Diploid,53.1,0.3087,0.0832,9.11,0.0911,1.094951923,12.66,0.269517331,50.1,0.2551,0.0711,7.82,0.0782,1.099859353,12.05,0.27871423,52.6,0.2834,0.0818,8.59,0.0859,1.050122249,12.87,0.288637968,0.085066667,0.0787,51.93333333,1.715446199,0.27895651,0.014595218,1.081644508,0.03408455,0,0,0,0,0,0.9575,0.972095218,0.4386,1.410695218,0.149433194,0.451190369,0.2711,0.1675,0,0.689089469,0.310910531,0.192174749,0.118735782,0.055788096
KB2-2,Palouse,17,2x,293,L,Diploid,38,0.0219,0.0071,1.02,0.0102,1.436619718,4.06,0.324200913,38.1,0.0311,0.0103,1.26,0.0126,1.223300971,4.57,0.331189711,NA,NA,NA,NA,NA,NA,NA,NA,0.0114,0.0087,38.05,1.580354661,0.327695312,0.012314348,1.329960345,0.123838692,0,0,0,0,0,0.0293,0.041614348,0.0312,0.072814348,-1.137783035,0.749741411,0.0181,0.0131,0,0.571513021,0.428486979,0.248577382,0.179909597,0.119481946
KB2-2,Palouse,19,2x,295,L,Diploid,41.7,0.0375,0.0104,1.4,0.014,1.346153846,4.99,0.277333333,NA,0.0368,0.0112,1.37,0.0137,1.223214286,4.97,0.304347826,NA,NA,NA,NA,NA,NA,NA,NA,0.01385,0.0108,41.7,1.620136055,0.29084058,0.021639477,1.284684066,0.108796338,1,0,1,1,3,0.0473,0.068939477,0.0464,0.115339477,-0.938022022,0.673054134,0.0214,0.025,0,0.597709291,0.402290709,0.185539249,0.21675146,0.093636631
KB2-2,Palouse,18,2x,294,L,Diploid,37,0.023,0.0073,0.92,0.0092,1.260273973,4.05,0.317391304,40.2,0.0265,0.0088,1.06,0.0106,1.204545455,4.22,0.332075472,NA,NA,NA,NA,NA,NA,NA,NA,0.0099,0.00805,38.6,1.586587305,0.324733388,0.021152987,1.232409714,0.090755113,0,0,0,0,0,0.0194,0.040552987,0.0532,0.093752987,-1.028014887,1.311863908,0.0282,0.025,0,0.432551413,0.567448587,0.300790416,0.266658171,0.085863931
KB2-2,Palouse,20,2x,296,L,Diploid,40.9,0.0213,0.0075,0.82,0.0082,1.093333333,3.78,0.352112676,38.9,0.0192,0.0059,0.75,0.0075,1.271186441,3.72,0.307291667,NA,NA,NA,NA,NA,NA,NA,NA,0.00785,0.0067,39.9,1.600972896,0.329702172,0.019602805,1.182259887,0.072712955,0,1,0,0,1,0.0241,0.043702805,0.0178,0.061502805,-1.211105077,0.407296511,0.0091,0.0087,0,0.710582306,0.289417694,0.147960731,0.141456963,0.108938121
Santa4-2018,Santa,5,2x,325,C,Diploid,35.5,0.0634,0.0158,2.4,0.024,1.518987342,6.16,0.249211356,38.7,0.0928,0.0272,3.54,0.0354,1.301470588,7.65,0.293103448,35.6,0.0842,0.023,3.24,0.0324,1.408695652,7.28,0.273159145,0.0306,0.022,36.6,1.563481085,0.27182465,0.004723894,1.409717861,0.149132202,0,0,0,0,0,0.057,0.061723894,0.0419,0.103623894,-0.984540092,0.678829498,0.0201,0.0218,0,0.595653103,0.404346897,0.193970707,0.21037619,0.212306247
Santa-1,Santa,8,2x,304,C,Diploid,41.4,0.0642,0.0203,2.79,0.0279,1.374384236,7.05,0.316199377,42.7,0.104,0.0312,4.13,0.0413,1.323717949,8.33,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0.0346,0.02575,42.05,1.623766,0.308099689,NA,1.349051093,0.130028398,1,1,0,0,2,0.0999,0.0999,0.049,0.1489,-0.827105302,0.49049049,0.0185,0.0305,0,0.670920081,0.329079919,0.124244459,0.20483546,0.172934856
Santa-1,Santa,6,2x,302,C,Diploid,40.1,0.0824,0.0267,3.55,0.0355,1.329588015,7.97,0.324029126,41.1,0.0769,0.0253,3.42,0.0342,1.351778656,7.87,0.3289987,NA,NA,NA,NA,NA,NA,NA,NA,0.03485,0.026,40.6,1.608526034,0.326513913,NA,1.340683336,0.127326211,0,0,0,0,0,0.2189,0.2189,0.1019,0.3208,-0.49376564,0.465509365,0.0428,0.0591,0,0.682356608,0.317643392,0.133416459,0.184226933,0.081047382
Santa-1,Santa,7,2x,303,C,Diploid,39.5,0.0836,0.0296,3.73,0.0373,1.260135135,8.72,0.354066986,39.9,0.0805,0.0263,3.5,0.035,1.330798479,8.12,0.326708075,NA,NA,NA,NA,NA,NA,NA,NA,0.03615,0.02795,39.7,1.598790507,0.340387531,NA,1.295466807,0.11242629,0,1,0,0,1,0.2036,0.2036,0.2194,0.423,-0.373659633,1.077603143,0.0883,0.1311,0,0.481323877,0.518676123,0.208747045,0.309929078,0.06607565
Santa-1,Santa,5,2x,301,C,Diploid,42.6,0.0789,0.0249,2.96,0.0296,1.18875502,7.07,0.315589354,46.6,0.0843,0.0251,2.98,0.0298,1.187250996,7.04,0.297746145,42.7,0.0821,0.0232,2.99,0.0299,1.288793103,7.03,0.282582217,0.029766667,0.0244,43.96666667,1.643123541,0.298639239,0.03373473,1.221599706,0.08692892,1,1,1,0,3,0.1218,0.15553473,0.1075,0.26303473,-0.579986905,0.691163961,0.04,0.0675,0,0.591308722,0.408691278,0.152071173,0.256620105,0.092763416
Santa-3,Santa,3,2x,315,C,Diploid,41.7,0.0611,0.0208,2.43,0.0243,1.168269231,6.92,0.340425532,40.5,0.0609,0.0201,2.37,0.0237,1.179104478,6.6,0.330049261,NA,NA,NA,NA,NA,NA,NA,NA,0.024,0.02045,41.1,1.613841822,0.335237397,NA,1.173686855,0.069552241,1,1,1,1,4,0.2335,0.2335,0.2059,0.4394,-0.357139947,0.881798715,0.134,0.0719,0,0.531406463,0.468593537,0.304961311,0.163632226,0.046540737
Santa4-2018,Santa,6,2x,326,C,Diploid,45.2,0.0862,0.0276,3.29,0.0329,1.192028986,7.56,0.320185615,41.7,0.074,0.0276,3,0.03,1.086956522,7.26,0.372972973,NA,NA,NA,NA,NA,NA,NA,NA,0.03145,0.0276,43.45,1.637989781,0.346579294,NA,1.139492754,0.056711568,0,1,0,0,1,0.2112,0.2112,0.1231,0.3343,-0.475863623,0.582859848,0.069,0.0541,0,0.631767873,0.368232127,0.206401436,0.161830691,0.082560574
Santa-3,Santa,4,2x,316,C,Diploid,42.2,0.1134,0.0396,4.64,0.0464,1.171717172,8.81,0.349206349,41.1,0.1113,0.041,4.24,0.0424,1.034146341,8.47,0.368373765,NA,NA,NA,NA,NA,NA,NA,NA,0.0444,0.0403,41.65,1.619615006,0.358790057,NA,1.102931757,0.042548642,0,1,0,0,1,0.217,0.217,0.1056,0.3226,-0.491335637,0.486635945,0.0559,0.0497,0,0.67265964,0.32734036,0.173279603,0.154060756,0.124922505
Santa4-2018,Santa,8,2x,328,C,Diploid,49.1,0.086,0.0292,3.15,0.0315,1.078767123,7.44,0.339534884,48.7,0.0953,0.0333,3.43,0.0343,1.03003003,7.78,0.349422875,NA,NA,NA,NA,NA,NA,NA,NA,0.0329,0.03125,48.9,1.689308859,0.34447888,NA,1.054398577,0.023004811,0,1,0,1,2,0.1435,0.1435,0.1462,0.2897,-0.538051505,1.018815331,0.0881,0.0581,0,0.495340007,0.504659993,0.304107698,0.200552295,0.107870211
Santa-3,Santa,2,2x,314,C,Diploid,44.4,0.1125,0.0453,3.6,0.036,0.794701987,8.11,0.402666667,41.5,0.0773,0.0253,2.89,0.0289,1.14229249,7.2,0.327296248,39.3,0.0842,0.0285,2.87,0.0287,1.007017544,7.13,0.33847981,0.0312,0.033033333,41.73333333,1.620483074,0.356147575,0.014055931,0.98133734,-0.008181676,0,0,1,1,2,0.1377,0.151755931,0.1297,0.281455931,-0.550589595,0.854661819,0.0726,0.0571,0,0.539181855,0.460818145,0.257944467,0.202873678,0.117365915
Santa-3,Santa,1,2x,313,C,Diploid,49.7,0.0859,0.032,2.98,0.0298,0.93125,7.93,0.372526193,47.1,0.0821,0.0309,3.05,0.0305,0.987055016,8.11,0.37637028,NA,NA,NA,NA,NA,NA,NA,NA,0.03015,0.03145,48.4,1.684845362,0.374448237,NA,0.959152508,-0.018112333,0,0,0,0,0,0.2552,0.2552,0.1895,0.4447,-0.351932871,0.742554859,0.0632,0.1263,0,0.573870025,0.426129975,0.142118282,0.284011693,0.070721835
Santa4-2018,Santa,7,2x,327,C,Diploid,44.1,0.0686,0.0238,2.54,0.0254,1.067226891,6.86,0.346938776,46.4,0.0538,0.0394,1.97,0.0197,0.5,5.72,NA,48.5,0.0618,0.0219,2.29,0.0229,1.0456621,6.49,0.354368932,0.022666667,0.028366667,46.33333333,1.665893546,0.350653854,0.046728947,0.870962997,-0.060000296,1,1,1,1,4,0.1174,0.164128947,0.0946,0.258728947,-0.587154979,0.576376086,0.0455,0.0491,0,0.634366386,0.365633614,0.175859719,0.189773895,0.109638552
Santa4-2018,Santa,15,2x,335,H,Diploid,NA,NA,NA,4.13,0.0413,NA,8.87,NA,NA,NA,NA,4.77,0.0477,NA,9.3,NA,NA,NA,NA,4.27,0.0427,NA,9,NA,0.0439,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0.6512,0.6512,0.1765,0.8277,-0.082127045,0.271038084,0.0553,0.1212,0,0.786758487,0.213241513,0.066811647,0.146429866,NA
Santa-1,Santa,14,2x,310,H,Diploid,44.9,0.1166,0.026,4.35,0.0435,1.673076923,8.67,0.222984563,46.7,0.1017,0.0223,3.95,0.0395,1.771300448,8.4,0.21927237,NA,NA,0.027,4.27,0.0427,1.581481481,9.33,NA,0.0419,0.0251,45.8,1.660865478,0.221128467,0.027460155,1.675286284,0.224089033,0,0,0,0,0,0.5584,0.585860155,0.1004,0.686260155,-0.163511216,0.171371955,0.0207,0.0797,0,0.853699797,0.146300203,0.030163488,0.116136715,0.036575051
Santa-3,Santa,11,2x,323,H,Diploid,40.6,0.0924,0.0204,3.93,0.0393,1.926470588,8.39,0.220779221,43.6,0.126,0.0316,4.59,0.0459,1.452531646,9.52,0.250793651,40.2,0.1552,0.0412,5.64,0.0564,1.368932039,9.95,0.265463918,0.0472,0.031066667,41.46666667,1.617699126,0.24567893,0.027105442,1.582644758,0.199383444,0,0,1,1,2,0.887,0.914105442,0.3784,1.292505442,0.11143238,0.413956621,0.1176,0.2608,0,0.707235275,0.292764725,0.090986077,0.201778648,0.024036005
Santa-3,Santa,10,2x,322,H,Diploid,43.7,0.1168,0.0302,4.73,0.0473,1.566225166,9.34,0.258561644,45.6,0.1452,0.0406,5.7,0.057,1.403940887,10.27,0.279614325,46.3,0.131,0.0348,5.09,0.0509,1.462643678,9.46,0.265648855,0.051733333,0.0352,45.2,1.655138435,0.267941608,0.029414132,1.477603244,0.169557836,1,0,0,0,1,0.662,0.691414132,0.1798,0.871214132,-0.059875088,0.260046753,0.0588,0.121,0,0.793621346,0.206378654,0.067492018,0.138886636,0.040403385
Santa-1,Santa,13,2x,309,H,Diploid,37.4,0.1112,0.0285,4.19,0.0419,1.470175439,8.67,0.256294964,36.2,0.12,0.0301,4.15,0.0415,1.378737542,8.57,0.250833333,NA,NA,0.0323,4.36,0.0436,1.349845201,8.99,NA,0.042333333,0.0303,36.8,1.565847819,0.253564149,0.012958804,1.399586061,0.145999609,0,0,0,0,0,0.6481,0.661058804,0.1502,0.811258804,-0.090840577,0.227211254,0.0409,0.1093,0,0.81485563,0.18514437,0.050415478,0.134728892,0.037349364
Santa4-2018,Santa,16,2x,336,H,Diploid,47.8,0.1397,0.0354,4.77,0.0477,1.347457627,9.18,0.253400143,48.1,0.149,0.0374,4.92,0.0492,1.315508021,9.58,0.251006711,47.7,0.1314,0.0315,4.66,0.0466,1.479365079,9.31,0.239726027,0.047833333,0.034766667,47.86666667,1.680033185,0.248044294,0.001621979,1.380776909,0.140123516,0,0,1,1,2,0.816,0.817621979,0.2467,1.064321979,0.027073031,0.301728679,0.0892,0.1575,0,0.76820924,0.23179076,0.083809225,0.147981535,0.032665554
Santa-1,Santa,15,2x,311,H,Diploid,45.7,0.13,0.0338,4.38,0.0438,1.295857988,9.13,0.26,36,0.1218,0.0312,4.46,0.0446,1.429487179,9.16,0.256157635,NA,NA,0.0272,3.82,0.0382,1.404411765,8.66,NA,0.0422,0.030733333,40.85,1.611192061,0.258078818,0.009279491,1.376585644,0.138803236,0,0,1,0,1,0.4589,0.468179491,0.1775,0.645679491,-0.189983008,0.379128098,0.0872,0.0903,0,0.725095806,0.274904194,0.135051525,0.139852669,0.047598435
Santa-3,Santa,12,2x,324,H,Diploid,47.3,0.127,0.0378,4.97,0.0497,1.314814815,9.51,0.297637795,49,0.135,0.0402,5.21,0.0521,1.2960199,9.85,0.297777778,51.7,0.1184,0.037,4.64,0.0464,1.254054054,9.47,0.3125,0.0494,0.038333333,49.33333333,1.693140461,0.302638524,0.008528237,1.288296256,0.110015745,0,1,0,0,1,0.7499,0.758428237,0.4166,1.175028237,0.070048303,0.549293894,0.1731,0.2435,0,0.645455329,0.354544671,0.147315609,0.207229063,0.032623329
Santa4-2018,Santa,14,2x,334,H,Diploid,53.1,0.1517,0.0447,5.45,0.0545,1.219239374,10.15,0.294660514,53.2,0.1352,0.037,4.73,0.0473,1.278378378,9.48,0.273668639,NA,NA,0.0411,5.31,0.0531,1.291970803,10.24,NA,0.051633333,0.040933333,53.15,1.725503269,0.284164577,0.012973759,1.263196185,0.101470805,NA,NA,NA,NA,NA,0.991,1.003973759,0.3043,1.308273759,0.116698631,0.303095571,0.1355,0.1688,0,0.767403422,0.232596578,0.103571595,0.129024983,0.031288049
Santa-3,Santa,9,2x,321,H,Diploid,47.1,0.2177,0.0615,7.65,0.0765,1.243902439,11.94,0.282498852,48.2,0.1716,0.0503,6.12,0.0612,1.216699801,11.22,0.293123543,47.8,0.1869,0.0544,6.93,0.0693,1.273897059,11.14,0.291064741,0.069,0.0554,47.7,1.678518379,0.288895712,0.01109032,1.2448331,0.095111128,0,1,0,0,1,0.9184,0.92949032,0.3619,1.29139032,0.111057527,0.389353167,0.1475,0.2144,0,0.719759399,0.280240601,0.114217985,0.166022617,0.042899501
Santa4-2018,Santa,13,2x,333,H,Diploid,41.3,0.1382,0.0379,4.48,0.0448,1.182058047,9.32,0.274240232,45.1,0.1376,0.0367,4.41,0.0441,1.201634877,9.17,0.266715116,NA,NA,NA,NA,NA,NA,NA,NA,0.04445,0.0373,43.2,1.635483747,0.270477674,NA,1.191846462,0.076220312,0,1,0,0,1,0.8617,0.8617,0.3269,1.1886,0.075035726,0.379366369,0.1583,0.1686,0,0.724970554,0.275029446,0.133181895,0.141847552,0.031381457
Santa-1,Santa,16,2x,312,H,Diploid,46.7,0.1889,0.0508,5.99,0.0599,1.179133858,11.15,0.268925357,48.9,0.2018,0.0541,6.14,0.0614,1.134935305,11.09,0.268087215,47.6,0.2016,0.0532,6.04,0.0604,1.135338346,11.38,0.263888889,0.060566667,0.0527,47.73333333,1.678821763,0.266967154,0.010474634,1.149802503,0.06062325,0,1,0,1,2,0.8934,0.903874634,0.348,1.251874634,0.09756084,0.385009145,0.1212,0.2268,0,0.722016893,0.277983107,0.096814806,0.181168301,0.042096867
Santa-3,Santa,17,2x,317,L,Diploid,37.7,0.0193,0.0059,0.93,0.0093,1.576271186,3.81,0.305699482,35.8,0.0152,0.0046,0.72,0.0072,1.565217391,3.47,0.302631579,NA,NA,NA,NA,NA,NA,NA,NA,0.00825,0.00525,36.75,1.565257343,0.304165531,0.025510249,1.570744289,0.196105489,0,1,0,0,1,0.0264,0.051910249,0.0201,0.072010249,-1.142605687,0.387206773,0.0086,0.0115,0,0.720873066,0.279126934,0.119427444,0.159699489,0.072906289
Santa-3,Santa,20,2x,320,L,Diploid,38.1,0.0349,0.0117,1.45,0.0145,1.239316239,5.17,0.335243553,39.2,0.0303,0.008,1.39,0.0139,1.7375,5,0.264026403,NA,NA,NA,NA,NA,NA,NA,NA,0.0142,0.00985,38.65,1.587149498,0.299634978,0.02304667,1.48840812,0.172722031,0,0,0,0,0,0.0508,0.07384667,0.04,0.11384667,-0.943679668,0.541662881,0.0156,0.0244,0,0.648650242,0.351349758,0.137026406,0.214323353,0.086519878
Santa-3,Santa,18,2x,318,L,Diploid,38.4,0.017,0.0052,0.82,0.0082,1.576923077,3.88,0.305882353,38.3,0.0202,0.0073,0.89,0.0089,1.219178082,4.1,0.361386139,NA,NA,NA,NA,NA,NA,NA,NA,0.00855,0.00625,38.35,1.583765368,0.333634246,0.01375589,1.39805058,0.145522884,0,0,0,0,0,0.0221,0.03585589,0.0102,0.04605589,-1.336714821,0.284472091,1.00E-04,0.0101,0,0.778529956,0.221470044,0.002171275,0.219298769,0.135704684
Santa4-2018,Santa,22,2x,330,L,Diploid,38.4,0.0333,0.0121,1.38,0.0138,1.140495868,4.85,0.363363363,36.7,0.0175,0.0061,0.89,0.0089,1.459016393,3.9,0.348571429,NA,NA,NA,NA,NA,NA,NA,NA,0.01135,0.0091,37.55,1.574609941,0.355967396,0.028558685,1.299756131,0.113861875,0,1,0,0,1,0.0583,0.086858685,0.0361,0.122958685,-0.91024079,0.415617621,0.0222,0.0139,0,0.706405448,0.293594552,0.18054845,0.113046102,0.074008599
Santa4-2018,Santa,23,2x,331,L,Diploid,35.9,0.0371,0.0121,1.53,0.0153,1.26446281,5.35,0.326145553,33.2,0.0288,0.0091,1.2,0.012,1.318681319,4.65,0.315972222,NA,NA,NA,NA,NA,NA,NA,NA,0.01365,0.0106,34.55,1.538448052,0.321058888,0.026811954,1.291572065,0.111118643,1,0,0,0,1,0.0633,0.090111954,0.0644,0.154511954,-0.811037915,0.714666558,0.0348,0.0296,0,0.583203769,0.416796231,0.225225292,0.191570938,0.068603106
Santa-3,Santa,19,2x,319,L,Diploid,36.7,0.031,0.0097,1.26,0.0126,1.298969072,4.83,0.312903226,37.9,0.041,0.0129,1.62,0.0162,1.255813953,5.35,0.314634146,NA,NA,NA,NA,NA,NA,NA,NA,0.0144,0.0113,37.3,1.571708832,0.313768686,0.018349737,1.277391513,0.106324026,0,0,0,0,0,0.0513,0.069649737,0.0689,0.138549737,-0.858394294,0.989235609,0.0461,0.0228,0,0.50270566,0.49729434,0.332732497,0.164561843,0.081559159
Santa4-2018,Santa,21,2x,329,L,Diploid,46.9,0.0421,0.013,1.51,0.0151,1.161538462,5.05,0.308788599,40.4,0.045,0.0133,1.63,0.0163,1.22556391,5.27,0.295555556,42.3,0.0347,0.0105,1.47,0.0147,1.4,5.11,0.30259366,0.015366667,0.012266667,43.2,1.635483747,0.302312605,0.001934054,1.262367457,0.10118579,0,0,1,0,1,0.0521,0.054034054,0.0554,0.109434054,-0.960847512,1.025279354,0.0256,0.0298,0,0.493759045,0.506240955,0.233930838,0.272310117,0.112091863
Santa-1,Santa,21,2x,305,L,Diploid,43.9,0.0412,0.0109,1.44,0.0144,1.321100917,5.08,0.264563107,43.7,0.0356,0.011,1.31,0.0131,1.190909091,4.87,0.308988764,NA,NA,NA,NA,NA,NA,NA,NA,0.01375,0.01095,43.8,1.641474111,0.286775936,0.010478924,1.256005004,0.09899137,0,0,1,0,1,0.0424,0.052878924,0.021,0.073878924,-1.131479438,0.397133648,0.0051,0.0159,0,0.715751139,0.284248861,0.069031866,0.215216995,0.148215478
Santa-1,Santa,23,2x,307,L,Diploid,38.1,0.0265,0.0097,1.23,0.0123,1.268041237,4.56,0.366037736,35,0.0316,0.0114,1.41,0.0141,1.236842105,4.9,0.360759494,NA,NA,NA,NA,NA,NA,NA,NA,0.0132,0.01055,36.55,1.562887381,0.363398615,0.031331654,1.252441671,0.097757509,0,1,0,0,1,0.0413,0.072631654,0.046,0.118631654,-0.925799414,0.633332679,0.0147,0.0313,0,0.612245143,0.387754857,0.123912965,0.263841892,0.088930733
Santa-1,Santa,22,2x,306,L,Diploid,38.3,0.0364,0.0116,1.52,0.0152,1.310344828,4.97,0.318681319,40,0.0343,0.0124,1.42,0.0142,1.14516129,4.9,0.361516035,NA,NA,NA,NA,NA,NA,NA,NA,0.0147,0.012,39.15,1.592731766,0.340098677,0.017436505,1.227753059,0.089111025,0,0,0,0,0,0.0493,0.066736505,0.0331,0.099836505,-1.000710631,0.495980423,0.0169,0.0162,0,0.668457945,0.331542055,0.169276759,0.162265296,0.120196515
Santa-1,Santa,24,2x,308,L,Diploid,37.7,0.0334,0.0117,1.35,0.0135,1.153846154,4.86,0.350299401,37.9,0.0278,0.0098,1.2,0.012,1.224489796,4.54,0.352517986,NA,NA,NA,NA,NA,NA,NA,NA,0.01275,0.01075,37.8,1.5774918,0.351408694,0.025732528,1.189167975,0.075243205,0,0,1,1,2,0.0446,0.070332528,0.1156,0.185932528,-0.730644626,1.643620716,0.097,0.0186,0,0.378269089,0.621730911,NA,NA,0.057816672
Santa4-2018,Santa,24,2x,332,L,Diploid,40.7,0.0358,0.0123,1.42,0.0142,1.154471545,5.03,0.343575419,38.8,0.0318,0.0121,1.37,0.0137,1.132231405,5.03,0.380503145,NA,NA,NA,NA,NA,NA,NA,NA,0.01395,0.0122,39.75,1.599337133,0.362039282,0.043189909,1.143351475,0.058179756,0,0,0,0,0,0.0689,0.112089909,0.0801,0.192189909,-0.716269419,0.714604916,0.0569,0.0232,0,0.583224736,0.416775264,0.29606133,0.120713934,0.063478879
Blue2-2,Blue,1,4x,361,C,Neotetraploid,32.3,0.0154,0.0036,0.57,0.0057,1.583333333,3.13,0.233766234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0057,0.0036,32.3,1.509202522,0.233766234,NA,1.583333333,0.199572355,0,0,0,0,0,0.0093,0.0093,0.0052,0.0145,-1.838631998,0.559139785,1.00E-04,0.0051,0,0.64137931,0.35862069,0.006896552,0.351724138,0.248275862
Blue11-2018,Blue,8,4x,738,C,Neotetraploid,48.3,0.0311,0.0101,1.28,0.0128,1.267326733,4.82,0.324758842,46.7,0.0287,0.0083,1.12,0.0112,1.34939759,4.43,0.289198606,NA,NA,NA,NA,NA,NA,NA,NA,0.012,0.0092,47.5,1.67669361,0.306978724,0.010843127,1.308362162,0.116727976,0,0,0,0,0,0.0407,0.051543127,0.0286,0.080143127,-1.096133716,0.554875144,0.0175,0.0111,0,0.643138457,0.356861543,0.218359336,0.138502207,0.114794622
Blue5-2018,Blue,5,4x,373,C,Neotetraploid,44.1,0.1163,0.0278,3.29,0.0329,1.183453237,7.36,0.239036973,43.5,0.0959,0.0232,2.87,0.0287,1.237068966,6.9,0.241918665,38.5,0.1069,0.0247,3.11,0.0311,1.259109312,7.36,0.231057063,0.0309,0.025233333,42.03333333,1.623593832,0.237337567,0.004451995,1.226543838,0.088683075,0,0,0,0,0,0.0727,0.077151995,0.0554,0.132551995,-0.877613731,0.718063091,0.0148,0.0406,0,0.582050802,0.417949198,0.111654298,0.3062949,0.190365547
Blue2-2,Blue,4,4x,364,C,Neotetraploid,NA,0.0135,0.0036,0.41,0.0041,1.138888889,2.6,0.266666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0041,0.0036,NA,NA,0.266666667,NA,1.138888889,0.056481356,0,0,0,0,0,0.0209,0.0209,0.0041,0.025,-1.602059991,0.196172249,5.00E-04,0.0036,0,0.836,0.164,0.02,0.144,0.144
Blue14-2018,Blue,5,4x,349,C,Neotetraploid,41.5,0.1304,0.0321,3.53,0.0353,1.099688474,8.04,0.246165644,45.8,0.1114,0.0281,3.22,0.0322,1.145907473,7.72,0.252244165,43.1,0.1037,0.0246,2.79,0.0279,1.134146341,7.05,0.237222758,0.0318,0.028266667,43.46666667,1.638156337,0.245210856,0.01160417,1.126580763,0.051762331,1,1,1,1,4,0.1012,0.11280417,0.0979,0.21070417,-0.676326869,0.867875718,0.0492,0.0487,0,0.535367525,0.464632475,0.233502735,0.23112974,0.134153335
Blue14-2018,Blue,6,4x,350,C,Neotetraploid,41.9,0.1137,0.0357,3.36,0.0336,0.941176471,7.83,0.313984169,42.1,0.1309,0.0384,3.91,0.0391,1.018229167,8.4,0.293353705,NA,NA,NA,NA,NA,NA,NA,NA,0.03635,0.03705,42,1.62324929,0.303668937,NA,0.979702819,-0.008905642,0,1,0,0,1,0.1827,0.1827,0.069,0.2517,-0.599116784,0.377668309,0.0329,0.0361,0,0.725864124,0.274135876,0.130711164,0.143424712,0.147199046
