Plant_ID,above_percent_N,above_percent_C,below_percent_N,below_percent_C,Accession,Population,Tray,Ploidy,Treatment,rand_placement_within_tray,Placement,randomized_tray_layout,flow_fresh_tissue_weight,DNA_content,FLOW,flow_ploidy,finalized_ploidy,leaf_1_chlorophyll,leaf_1_fresh_mass,leaf_1_dry_mass,leaf_1_area_cm,leaf_1_area_m,leaf_1_SLA,leaf_1_perimeter_cm,leaf_1_DMC,leaf_2_chlorophyll,leaf_2_fresh_mass,leaf_2_dry_mass,leaf_2_area_cm,leaf_2_area_m,leaf_2_SLA,leaf_2_perimeter,leaf_2_DMC,leaf_3_chlorophyll,leaf_3_fresh_mass,leaf_3_dry_mass,leaf_3_area,leaf_3_area_m,leaf_3_SLA,leaf_3_perimeter,leaf_3_DMC,avg_leaf_dry_mass,avg_chlorophyll,log_avg_chlorophyll,avg_DMC,arcsine_avg_DMC,est_flo_dry_leaf_weight,avg_SLA,log_avg_SLA,leaf_curl,whorled_leaf,tick_stem,thick_leaf,Sum,aboveground_dry_mass,total_aboveground_biomass,belowground_dry_mass,total_biomass_g,log_Total_biomass_g,total_biomass_avg_ploidy,total_biomass_SD_ploidy,total_biomass_N_ploidy,root_to_shoot_raio,rootshoot_avg_ploidy,rootshoot_SD_ploidy,rootshoot_N_ploidy,rhizome_weight,fine_roots_weight,Died,normalized_aboveground_mass,arcsine_normalized_aboveground_mass,normal_above_mass_avg_ploidy,normal_above_mass_SD_ploidy,normal_above_mass_N_ploidy,normalized_belowground_mass,arcsine_normal_beloground_mass,normal_below_mass_avg_ploidy,normal_below_mass_SD_ploidy,normal_below_mass_N_ploidy,normalized_rhizome_mass,arcsine_normal_rhizome_mass,normal_rhizome_mass_avg_ploidy,normal_rhizome_mass_SD_ploidy,normal_rhizome_mass_N_ploidy,normalized_fine_roots_mass,arcsine_normal_fine_root_mass,normal_fineroot_mass_avg_ploidy,normal_fineroot_mass_SD_ploidy,normal_fineroot_mass_N_ploidy,normalized_avg_leaf_dry_mass
247,1.068,43.864,NA,NA,Blue6-2018,Blue,19,2x,Low,0.373225896,11,NA,NA,NA,,,2x,45.1,0.0499,0.015,1.73,0.0173,1.153333333,5.56,0.300601202,51.8,0.043,0.0143,1.6,0.016,1.118881119,5.26,0.33255814,NA,NA,NA,NA,NA,NA,NA,NA,0.01465,48.45,1.685293781,0.316579671,0.597592848,0.011230452,1.136107226,0.055419322,0,0,0,0,0,0.0674,0.078630452,0.0623,0.140930452,-0.850995155,NA,NA,NA,0.792313899,NA,NA,NA,0.0309,0.0314,0,0.557937982,0.843466593,NA,NA,NA,0.442062018,0.727329734,NA,NA,NA,0.219257084,0.487308011,NA,NA,NA,0.222804934,0.491583164,NA,NA,NA,0.103951983
258,0.631,44.311,NA,NA,Cheney2-2018,Cheney,22,2x,Low,0.54211363,11,NA,NA,NA,,,2x,37.8,0.0299,0.0113,1.22,0.0122,1.079646018,4.67,0.377926421,43.3,0.0369,0.0134,1.45,0.0145,1.082089552,4.97,0.363143631,NA,NA,NA,NA,NA,NA,NA,NA,0.01235,40.55,1.607990859,0.370535026,0.654441061,0.008237299,1.080867785,0.033772573,0,0,0,0,0,0.0363,0.044537299,0.0329,0.077437299,-1.111049804,NA,NA,NA,0.738706674,NA,NA,NA,0.0125,0.0204,0,0.57514014,0.860824047,NA,NA,NA,0.42485986,0.70997228,NA,NA,NA,0.161420919,0.413451317,NA,NA,NA,0.26343894,0.538982529,NA,NA,NA,0.159483868
264,1.249,45.157,NA,NA,Cheney2-2018,Cheney,16,2x,High,0.657237857,11,NA,0.0925,1.154,Y,2X,2x,48.2,0.1245,0.0334,4.1,0.041,1.22754491,8.88,0.268273092,50.8,0.164,0.0441,5.16,0.0516,1.170068027,10.07,0.268902439,47.7,0.1501,0.0399,5.21,0.0521,1.305764411,10.09,0.265822785,0.039133333,48.9,1.689308859,0.267666105,0.543768463,0.011821711,1.234459116,0.091476711,0,1,0,0,1,0.7077,0.719521711,0.2891,1.008621711,0.003728312,NA,NA,NA,0.401794686,NA,NA,NA,0.109,0.1801,0,0.71337123,1.005842022,NA,NA,NA,0.28662877,0.564954305,NA,NA,NA,0.108068267,0.334966342,NA,NA,NA,0.178560503,0.436272663,NA,NA,NA,0.038798821
277,1.36,44.296,NA,NA,CheneyA-2018,Cheney,5,2x,Control,0.536881935,13,NA,0.085,1.123,Y,2X,2x,43.4,0.0755,0.024,2.67,0.0267,1.1125,6.76,0.317880795,44.3,0.0768,0.0239,2.77,0.0277,1.158995816,6.83,0.311197917,37.6,0.0789,0.0218,2.94,0.0294,1.348623853,7.16,0.276299113,0.023233333,41.76666667,1.620829816,0.301792608,0.581593974,0.020686567,1.206706556,0.081601672,0,0,0,0,0,0.091,0.111686567,0.1071,0.218786567,-0.659979346,NA,NA,NA,0.958933584,NA,NA,NA,0.0421,0.065,0,0.51048183,0.795880761,NA,NA,NA,0.48951817,0.774915565,NA,NA,NA,0.192424976,0.454110029,NA,NA,NA,0.297093194,0.576463731,NA,NA,NA,0.106191771
284,0.438,41.38,NA,NA,CheneyA-2018,Cheney,24,2x,Low,0.183408505,5,NA,NA,NA,,,2x,33.5,0.028,0.0109,1.22,0.0122,1.119266055,4.54,0.389285714,33.7,0.0285,0.0103,1.12,0.0112,1.087378641,4.4,0.361403509,NA,NA,NA,NA,NA,NA,NA,NA,0.0106,33.6,1.526339277,0.375344612,0.659413917,0.006145505,1.103322348,0.042702415,0,0,0,0,0,0.0463,0.052445505,0.0462,0.098645505,-1.0059227,NA,NA,NA,0.880914389,NA,NA,NA,0.0255,0.0207,0,0.531656308,0.817075659,NA,NA,NA,0.468343692,0.753720668,NA,NA,NA,0.258501388,0.533360934,NA,NA,NA,0.209842304,0.475840208,NA,NA,NA,0.107455479
61,NA,NA,0.751,35.417,Santa9-2018,Santa,5,2x-G,Control,0.235644127,5,NA,0.056,1.133,Y,2x-G,2x-G,40.8,0.082,0.0253,3.01,0.0301,1.18972332,7.09,0.308536585,48.4,0.0973,0.0351,3.55,0.0355,1.011396011,7.94,0.360739979,46.1,0.0967,0.0322,3.47,0.0347,1.077639752,7.77,0.332988625,0.030866667,45.1,1.654176542,0.334088396,0.616280347,0.00454294,1.092919694,0.038588252,0,0,1,1,2,0.1955,0.20004294,0.2332,0.43324294,-0.363268506,NA,NA,NA,1.165749714,NA,NA,NA,0.1095,0.1237,0,0.461733872,0.747094581,NA,NA,NA,0.538266128,0.823701746,NA,NA,NA,0.25274503,0.526762705,NA,NA,NA,0.285521098,0.5637288,NA,NA,NA,0.071245632
428,0.816,43.871,0.795,28.359,CheneyA-2018,Cheney,24,4x,Low,0.722560223,14,NA,NA,NA,,,2x-G,35.3,0.0303,0.0097,1.4,0.014,1.443298969,4.99,0.320132013,NA,0.0235,0.008,1.19,0.0119,1.4875,4.43,0.340425532,NA,NA,NA,NA,NA,NA,NA,NA,0.00885,35.3,1.547774705,0.330278773,0.612236116,0.013685208,1.465399485,0.165956035,1,1,1,1,4,0.0321,0.045785208,0.0359,0.081685208,-1.087856581,NA,NA,NA,0.784096034,NA,NA,NA,0.0101,0.0258,0,0.560507944,0.846054778,NA,NA,NA,0.439492056,0.724741549,NA,NA,NA,0.123645397,0.359314373,NA,NA,NA,0.315846659,0.596804658,NA,NA,NA,0.108342749
375,NA,NA,0.811,31.568,Blue5-2018,Blue,7,4x,Control,0.964518447,20,NA,0.0682,1.349,Y,2x-G,2x-G,48.8,0.0988,0.031,3.27,0.0327,1.05483871,8,0.313765182,47.7,0.0895,0.0255,2.92,0.0292,1.145098039,7.51,0.284916201,46.9,0.0855,0.026,2.89,0.0289,1.111538462,7.66,0.304093567,0.0275,47.8,1.679427897,0.300924983,0.580648536,0.015088175,1.10382507,0.042900254,0,1,0,0,1,0.126,0.141088175,0.1816,0.322688175,-0.491216949,NA,NA,NA,1.287138345,NA,NA,NA,0.079,0.1026,0,0.437227596,0.722459681,NA,NA,NA,0.562772404,0.848336646,NA,NA,NA,0.244818392,0.517594613,NA,NA,NA,0.317954012,0.599069325,NA,NA,NA,0.085221592
386,0.761,49.315,0.871,40.569,Blue8-2018,Blue,2,4x,Control,0.409631195,10,0.440171538,0.0809,1.352,Y,2x-G,2x-G,48.1,0.0643,0.021,2.22,0.0222,1.057142857,6.54,0.32659409,47.1,0.0666,0.0228,2.26,0.0226,0.99122807,6.78,0.342342342,48.9,0.0707,0.0247,2.51,0.0251,1.016194332,7.32,0.349363508,0.022833333,48.03333333,1.681542726,0.339433313,0.62193516,0.030080969,1.021521753,0.009247619,0,1,1,0,2,0.1325,0.162580969,0.1651,0.327680969,-0.484548781,NA,NA,NA,1.015494009,NA,NA,NA,0.0893,0.0758,0,0.496156275,0.781554401,NA,NA,NA,0.503843725,0.789241926,NA,NA,NA,0.272521167,0.549235826,NA,NA,NA,0.231322558,0.501749389,NA,NA,NA,0.069681596
404,0.776,45.935,0.875,42.777,Cheney2-2018,Cheney,24,4x,Low,0.357037306,7,NA,NA,NA,,,2x-G,38.7,0.0276,0.0093,1.06,0.0106,1.139784946,4.39,0.336956522,38.9,0.0245,0.0069,0.94,0.0094,1.362318841,4.05,0.281632653,NA,NA,NA,NA,NA,NA,NA,NA,0.0081,38.8,1.588831726,0.309294588,0.589737157,0.037592461,1.251051894,0.097275325,1,0,0,0,1,0.0378,0.075392461,0.0551,0.130492461,-0.884414578,NA,NA,NA,0.730842305,NA,NA,NA,0.0272,0.0279,0,0.577753385,0.863468385,NA,NA,NA,0.422246615,0.707327942,NA,NA,NA,0.20844116,0.474117611,NA,NA,NA,0.213805455,0.480689918,NA,NA,NA,0.062072551
182,0.713,45.27,0.93,34.571,Blue19-2018,Blue,6,2x-G,Control,0.20757412,7,NA,0.0075,1.072,Y,2x-G,2x-G,49.4,0.0794,0.0309,3.03,0.0303,0.980582524,7.58,0.389168766,49.8,0.0783,0.0299,2.87,0.0287,0.959866221,7.2,0.381864623,NA,NA,NA,NA,NA,NA,NA,NA,0.0304,49.6,1.695481676,0.385516695,0.669890184,NA,0.970224373,-0.01312782,0,0,0,0,0,0.3031,0.3031,0.138,0.4411,-0.355462942,NA,NA,NA,0.455295282,NA,NA,NA,0.0893,0.0487,0,0.687145772,0.977214497,NA,NA,NA,0.312854228,0.59358183,NA,NA,NA,0.202448424,0.466701165,NA,NA,NA,0.110405804,0.338713209,NA,NA,NA,0.068918613
399,0.696,45.273,0.933,32.834,Cheney2-2018,Cheney,7,4x,Control,0.137941909,5,NA,0.1132,0.798,Y,2x-G,2x-G,45.5,0.0945,0.0328,3.22,0.0322,0.981707317,7.9,0.347089947,48.4,0.0934,0.0336,3.03,0.0303,0.901785714,7.6,0.359743041,49.3,0.0938,0.0324,3.16,0.0316,0.975308642,7.81,0.345415778,0.032933333,47.73333333,1.678821763,0.350749589,0.633837425,0.020525548,0.952933891,-0.020937227,0,0,0,0,0,0.1704,0.190925548,0.1612,0.352125548,-0.453302464,NA,NA,NA,0.84430817,NA,NA,NA,0.0717,0.0895,0,0.542208735,0.827657192,NA,NA,NA,0.457791265,0.743139135,NA,NA,NA,0.203620556,0.468158107,NA,NA,NA,0.254170708,0.528401451,NA,NA,NA,0.093527247
128,NA,NA,0.95,34.069,Santa11-2018,Santa,20,2x-G,Low,0.817616442,16,NA,NA,NA,,,2x-G,38.8,0.0346,0.013,1.46,0.0146,1.123076923,5.13,0.375722543,43.3,0.0376,0.0124,1.47,0.0147,1.185483871,4.91,0.329787234,NA,NA,NA,NA,NA,NA,NA,NA,0.0127,41.05,1.613313161,0.352754889,0.635937143,0.023357389,1.154280397,0.06231132,0,0,0,0,0,0.0615,0.084857389,0.048,0.132857389,-0.876614287,NA,NA,NA,0.565654925,NA,NA,NA,0.0238,0.0242,0,0.638710347,0.925952354,NA,NA,NA,0.361289653,0.644843973,NA,NA,NA,0.179139453,0.437028026,NA,NA,NA,0.1821502,0.440940926,NA,NA,NA,0.095591221
452,0.786,43.434,0.957,42.42,Santa15-2018,Santa,24,4x,Low,0.764419003,16,NA,NA,NA,,,2x-G,35.1,0.0272,0.01,1.16,0.0116,1.16,4.56,0.367647059,38.3,0.0294,0.0111,1.24,0.0124,1.117117117,4.57,0.37755102,NA,NA,NA,NA,NA,NA,NA,NA,0.01055,36.7,1.564666064,0.37259904,0.656576735,0.019728018,1.138558559,0.056355372,0,0,0,0,0,0.0445,0.064228018,0.0332,0.097428018,-1.011316132,NA,NA,NA,0.516908369,NA,NA,NA,0.0137,0.0195,0,0.659235601,0.947456303,NA,NA,NA,0.340764399,0.623340024,NA,NA,NA,0.140616635,0.384384743,NA,NA,NA,0.200147764,0.463832288,NA,NA,NA,0.108285073
183,NA,NA,0.965,38.189,Blue19-2018,Blue,7,2x-G,Control,0.740139245,17,NA,0.0679,NA,,,2x-G,45.9,0.0673,0.0238,2.67,0.0267,1.121848739,7.35,0.353640416,45,0.0744,0.0242,2.73,0.0273,1.128099174,7.22,0.325268817,45.2,0.0792,0.0278,2.92,0.0292,1.050359712,7.82,0.351010101,0.025266667,45.36666667,1.656736871,0.343306445,0.626019299,0.016459151,1.100102542,0.041433168,0,0,0,0,0,0.2257,0.242159151,0.1811,0.423259151,-0.373393644,NA,NA,NA,0.747855281,NA,NA,NA,0.1123,0.0688,0,0.572129747,0.857780462,NA,NA,NA,0.427870253,0.713015864,NA,NA,NA,0.265322084,0.541117602,NA,NA,NA,0.162548169,0.414981094,NA,NA,NA,0.059695501
109,0.967,45.953,0.978,31.892,Santa16-2018,Santa,5,2x-G,Control,0.991862775,20,NA,0.0816,0.915,Y,2x-G,2x-G,45.3,0.1072,0.0346,3.66,0.0366,1.057803468,7.64,0.322761194,44.7,0.109,0.0361,3.59,0.0359,0.994459834,7.53,0.331192661,43.4,0.1079,0.0354,3.83,0.0383,1.081920904,8.04,0.328081557,0.035366667,44.46666667,1.648034575,0.327345137,0.609113768,0.033753975,1.044728069,0.019003263,0,0,0,0,0,0.1563,0.190053975,0.1733,0.363353975,-0.439670084,NA,NA,NA,0.911846227,NA,NA,NA,0.0809,0.0924,0,0.523054619,0.808460959,NA,NA,NA,0.476945381,0.762335367,NA,NA,NA,0.222647901,0.491394457,NA,NA,NA,0.254297479,0.528547021,NA,NA,NA,0.097333921
63,NA,NA,0.999,33.012,Santa9-2018,Santa,7,2x-G,Control,0.20199412,6,NA,0.1058,0.964,Y,2x-G,2x-G,44.6,0.081,0.0249,2.95,0.0295,1.184738956,7.13,0.307407407,48,0.1037,0.0336,3.56,0.0356,1.05952381,7.91,0.324011572,46.6,0.0872,0.0284,3.2,0.032,1.126760563,7.7,0.325688073,0.028966667,46.4,1.666517981,0.319035684,0.600230186,0.008085053,1.123674443,0.050640503,0,0,0,0,0,0.1775,0.185585053,0.1194,0.304985053,-0.515721444,NA,NA,NA,0.643370778,NA,NA,NA,0.0634,0.056,0,0.608505404,0.894773792,NA,NA,NA,0.391494596,0.676022535,NA,NA,NA,0.20787904,0.473425332,NA,NA,NA,0.183615556,0.442836258,NA,NA,NA,0.094977333
352,NA,NA,1.015,36.686,Blue14-2018,Blue,8,4x,Control,0.282806632,5,NA,0.0451,1.036,Y,2x-G,2x-G,47.2,0.1006,0.036,3.45,0.0345,0.958333333,8.61,0.357852883,52.9,0.107,0.0378,3.43,0.0343,0.907407407,8.09,0.353271028,NA,NA,NA,NA,NA,NA,NA,NA,0.0369,50.05,1.699404082,0.355561956,0.63887183,NA,0.93287037,-0.030178701,0,0,0,0,0,0.2345,0.2345,0.2039,0.4384,-0.358129455,NA,NA,NA,0.869509595,NA,NA,NA,0.1075,0.0964,0,0.534899635,0.820326199,NA,NA,NA,0.465100365,0.750470128,NA,NA,NA,0.245209854,0.5180497,NA,NA,NA,0.219890511,0.488073097,NA,NA,NA,0.084169708
85,0.973,45.511,1.052,32.591,Santa17-2018,Santa,5,2x-G,Control,0.810875377,18,NA,0.0887,0.928,Y,2x-G,2x-G,38.1,0.0957,0.0329,3.13,0.0313,0.951367781,7.32,0.343782654,44.6,0.1017,0.0381,3.23,0.0323,0.847769029,7.74,0.374631268,41.8,0.0883,0.0264,3.15,0.0315,1.193181818,7.54,0.298980747,0.032466667,41.5,1.618048097,0.339131556,0.621616492,0.0413369,0.997439543,-0.001113418,0,1,0,0,1,0.1266,0.1679369,0.1141,0.2820369,-0.549694068,NA,NA,NA,0.679421854,NA,NA,NA,0.0556,0.0585,0,0.595443008,0.881430504,NA,NA,NA,0.404556992,0.689365823,NA,NA,NA,0.197137325,0.460059579,NA,NA,NA,0.207419667,0.472859077,NA,NA,NA,0.115114962
449,1.323,44.413,1.063,46.341,Santa15-2018,Santa,21,4x,Low,0.706153776,16,NA,NA,NA,,,2x-G,34.2,0.0216,0.0048,0.84,0.0084,1.75,3.85,0.222222222,38.4,0.0266,0.0068,1.06,0.0106,1.558823529,4.36,0.255639098,36.6,0.0192,0.0053,0.83,0.0083,1.566037736,3.8,0.276041667,0.005633333,36.4,1.561101384,0.251300996,0.525099738,0.004794576,1.624953755,0.210841006,1,1,0,1,3,0.0188,0.023594576,0.0159,0.039494576,-1.403462544,NA,NA,NA,0.673883693,NA,NA,NA,0.0075,0.0084,0,0.597413073,0.883438262,NA,NA,NA,0.402586927,0.687358065,NA,NA,NA,0.189899494,0.450898701,NA,NA,NA,0.212687433,0.479325145,NA,NA,NA,0.142635612
